s,p,o
ультразвуковий,перевага,низька вартість
ультразвуковий,перевага,надійність у темряві
ультразвуковий,недолік,низька точність
ультразвуковий,недолік,чутливість до матеріалів
ІЧ-сенсор,перевага,енергозбереження
ІЧ-сенсор,перевага,простота використання
ІЧ-сенсор,недолік,обмежена дальність
ІЧ-сенсор,недолік,чутливість до освітлення
лазерний (LiDAR),перевага,висока точність
лазерний (LiDAR),перевага,створення 3D-карт
лазерний (LiDAR),недолік,висока вартість
лазерний (LiDAR),недолік,обмеження в умовах пилу
магнітний,перевага,робота в будь-яких умовах
магнітний,перевага,нечутливість до перешкод
магнітний,недолік,обмежене застосування
магнітний,недолік,низька точність
камерний сенсор,перевага,багатофункціональність
камерний сенсор,перевага,можливість розпізнавання
камерний сенсор,недолік,високе енергоспоживання
камерний сенсор,недолік,складність обробки даних
сенсор тиску,перевага,точність вимірювання
сенсор тиску,перевага,низька вартість
сенсор тиску,недолік,чутливість до температури
сенсор тиску,недолік,обмежений діапазон
сенсор температури,перевага,простота використання
сенсор температури,перевага,надійність
сенсор температури,недолік,повільний відгук
сенсор температури,недолік,обмежений температурний діапазон
GPS-сенсор,перевага,точна навігація
GPS-сенсор,перевага,можливість глобального відстеження
GPS-сенсор,недолік,залежність від супутників
GPS-сенсор,недолік,високе енергоспоживання
сенсор прискорення,перевага,простота інтеграції
сенсор прискорення,перевага,точне вимірювання руху
сенсор прискорення,недолік,чутливість до шумів
сенсор прискорення,недолік,обмежений діапазон
сенсор освітленості,перевага,низька вартість
сенсор освітленості,перевага,енергоефективність
сенсор освітленості,недолік,залежність від зовнішніх умов
сенсор освітленості,недолік,обмежений функціонал
акустичний сенсор,перевага,точне виявлення звуків
акустичний сенсор,перевага,можливість віддаленого контролю
акустичний сенсор,недолік,чутливість до шуму
акустичний сенсор,недолік,складність інтеграції
сенсор вологості,перевага,надійність
сенсор вологості,перевага,точність вимірювання
сенсор вологості,недолік,обмежений температурний діапазон
сенсор вологості,недолік,повільний відгук
